"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lekr1",4.11524896646977e-11,-0.344572372768638,0.207,0.3,1.03412091278419e-06
"Epn2",4.12166175341686e-11,-0.345181720744664,0.228,0.331,1.03573238201612e-06
"Ppib",4.12497018507527e-11,0.380690102679498,0.822,0.853,1.03656375780756e-06
"Ndufab1",4.2111070552516e-11,0.266771224554298,0.782,0.823,1.05820909191418e-06
"Aars",4.26844348562707e-11,-0.471182390537877,0.252,0.394,1.07261716350323e-06
"Cry2",4.47424286372259e-11,-0.401777095748481,0.275,0.42,1.12433248922485e-06
"Mrpl33",4.50761678874002e-11,0.453137478319948,0.59,0.58,1.13271902284248e-06
"Pdap1",4.5821584387105e-11,-0.272644172575775,0.596,0.765,1.15145059406356e-06
"Ppp3ca",4.63999549045732e-11,-0.518076186029789,0.409,0.594,1.16598446679702e-06
"Pdzd8",4.77303424381774e-11,-0.409463951901004,0.281,0.425,1.19941577512896e-06
"Tle5",5.02800725255757e-11,0.355680550454537,0.481,0.494,1.26348794249519e-06
"Cttn",5.49196144722687e-11,-0.526156266420305,0.216,0.35,1.38007499207364e-06
"Rpl10",5.98523927987426e-11,0.442108965083604,0.812,0.807,1.5040307786396e-06
"Ylpm1",6.33631779567403e-11,-0.47133132159209,0.264,0.414,1.59225329887493e-06
"Ndufb11",6.44937920189157e-11,0.34914961017194,0.854,0.888,1.62066449964333e-06
"Msi1",6.78568250360714e-11,-0.581597814980539,0.237,0.398,1.70517415633144e-06
"Myl12a",6.99760587684791e-11,0.32738227180377,0.282,0.291,1.75842838079311e-06
"Nfix",7.10750971810256e-11,0.758545966252143,0.66,0.459,1.78604611706199e-06
"Ran",7.26875366065063e-11,0.336227635989734,0.679,0.716,1.8265651073849e-06
"Snrpd3",7.56704937037547e-11,0.268407713471296,0.5,0.535,1.90152383628165e-06
"Arhgef12",7.57798214182118e-11,-0.30697795971092,0.524,0.696,1.90427113241825e-06
"Lhfpl4",7.81981626249145e-11,-0.454071276173825,0.163,0.261,1.96504162860148e-06
"Clta",8.10207928664181e-11,0.339946707162017,0.73,0.772,2.03597150394022e-06
"Kdm2a",8.30459624874019e-11,-0.253397971985982,0.222,0.312,2.08686199134592e-06
"Slc45a1",8.69398260674192e-11,-0.466688577580752,0.175,0.284,2.18471088924818e-06
"Fsip1",8.90159316621639e-11,-0.336181263014801,0.289,0.422,2.23688134673852e-06
"Uhmk1",8.90563680737037e-11,-0.43748921180385,0.193,0.307,2.2378974733241e-06
"Serf2",9.11326424491075e-11,0.404290714737586,0.753,0.757,2.29007217210362e-06
"Mpp2",9.23318195451682e-11,-0.384444643675688,0.323,0.477,2.32020629335053e-06
"Eif3f",9.28251418058494e-11,0.370704310721038,0.537,0.564,2.33260298843919e-06
"Rbm43",9.45448885400989e-11,-0.269851616977344,0.325,0.458,2.37581850412414e-06
