"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098884","GO:0098884","postsynaptic neurotransmitter receptor internalization","3/146","51/28832",0.0588235294117647,11.6164383561644,5.4135515242687,0.00221719546905531,0.0444656650307736,0.0377652610513361,"Ppp3r1/Ap2a2/Ap2b1",3
"GO:0140239","GO:0140239","postsynaptic endocytosis","3/146","51/28832",0.0588235294117647,11.6164383561644,5.4135515242687,0.00221719546905531,0.0444656650307736,0.0377652610513361,"Ppp3r1/Ap2a2/Ap2b1",3
"GO:0034086","GO:0034086","maintenance of sister chromatid cohesion","2/146","14/28832",0.142857142857143,28.2113502935421,7.26529873416041,0.00222680776029255,0.0444656650307736,0.0377652610513361,"Rb1/Smc5",2
"GO:0099011","GO:0099011","neuronal dense core vesicle exocytosis","2/146","14/28832",0.142857142857143,28.2113502935421,7.26529873416041,0.00222680776029255,0.0444656650307736,0.0377652610513361,"Unc13c/Rims1",2
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","4/146","108/28832",0.037037037037037,7.3140537798072,4.68995827853542,0.00224941279409636,0.0444656650307736,0.0377652610513361,"Rps15a/Rps21/Nob1/Rps28",4
"GO:0001558","GO:0001558","regulation of cell growth","8/146","456/28832",0.0175438596491228,3.46455179043499,3.78456585191326,0.00232575525381933,0.0449780764931361,0.0382004586949207,"Rb1/Ulk2/Rims2/Cttn/D130043K22Rik/Rictor/Rims1/Ppt1",8
"GO:0009260","GO:0009260","ribonucleotide biosynthetic process","5/146","181/28832",0.0276243093922652,5.45523348217664,4.2895442051722,0.00233281597960386,0.0449780764931361,0.0382004586949207,"Nme7/Ndufa1/Ndufa7/mt-Atp8/mt-Nd6",5
"GO:0060074","GO:0060074","synapse maturation","3/146","52/28832",0.0576923076923077,11.3930453108535,5.35143656347977,0.00234428400730704,0.0449780764931361,0.0382004586949207,"Robo2/Pfn1/Palm",3
"GO:0014733","GO:0014733","regulation of skeletal muscle adaptation","2/146","15/28832",0.133333333333333,26.3305936073059,7.00064245654843,0.00256087823197737,0.0481888336536511,0.0409273960353468,"Ppp3ca/Gtf2ird1",2
"GO:0090281","GO:0090281","negative regulation of calcium ion import","2/146","15/28832",0.133333333333333,26.3305936073059,7.00064245654843,0.00256087823197737,0.0481888336536511,0.0409273960353468,"Ppp3r1/Ppp3ca",2
"GO:0022618","GO:0022618","protein-RNA complex assembly","5/146","186/28832",0.0268817204301075,5.30858742082781,4.20562621762271,0.00262417884816493,0.048909695293893,0.0415396330952624,"Rpl38/Snrpf/Ago3/Prpf18/Rps28",5
